3, ОС, сист. прогр. (лаб),доц. Бойко Я.В.,8,Об.-орiєнт.прогр. (лаб),ас. Бавдис М.I.,1,Четвер, ФеП-11
4, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеП-11
5, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеП-11
6, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеП-11
7, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеП-11
1, NULL, NULL, NULL, NULL, NULL, NULL, Пятниця, ФеП-11
2, Дискр. математ. (лекц),доц. Вельгош С.Р.,129, NULL, NULL, NULL, Пятниця, ФеП-11
3, Вища математика (лекц),доц. Стахiв Л.Л.,128, NULL, NULL, NULL, Пятниця, ФеП-11
1, NULL, NULL, NULL, NULL, NULL, NULL, Понедiлок, ФеП-12
2, NULL, NULL, NULL, NULL, NULL, NULL, Понедiлок, ФеП-12
3, Об.-орiєнт.прогр. (лекц),доц. Кушнiр. О.О.,130, NULL, NULL, NULL, Понедiлок, ФеП-12
4, Веб-технологiї (лекц),ас. Ткаченко. О, NULL, NULL, NULL, NULL, Понедiлок, ФеП-12
5, Веб-технологiї (лаб),ас. Ткаченко. О, NULL,Веб-технологiї (лаб),ас. Мисюк Р.В, NULL., Понедiлок, ФеП-12
6, NULL, NULL, NULL, NULL, NULL, NULL, Понедiлок, ФеП-12
1, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеП-12
2, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеП-12
3, ОС, сист. прогр. (лаб),доц. Бойко Я.В.,8, NULL, NULL, NULL, Вiвторок, ФеП-12
4, Iноземна мова (пр),доц. Сологуб Л.В.,123, NULL, NULL, NULL, Вiвторок, ФеП-12
5, Фiзвиховання (лекц), NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеП-12
6, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеП-12
7, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеП-12
1, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеП-12
2, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеП-12
3, Дискр. математ. (лаб),ас. Кучеренко О.I.,4,Об.-орiєнт.прогр. (лаб),ас. Бавдис М.I.,6,Середа, ФеП-12
4, Iноземна мова (пр),доц. Сологуб Л.В.,123, NULL, NULL, NULL, Середа, ФеП-12
5, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеП-12
6, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеП-12
7, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеП-12
1, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеП-12
2, Вища математика (пр),доц. Стахiв Л.Л.,405, NULL, NULL, NULL, Четвер, ФеП-12
3, Об.-орiєнт.прогр. (лаб),ас. Шевчук В.Д.,4,Дискр. математ. (лаб),ас. Кучеренко О.I.,2,Четвер, ФеП-12
4, ОС, сист. прогр. (лаб),доц. Бойко Я.В.,8, NULL, NULL, NULL, Четвер, ФеП-12
5, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеП-12
6, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеП-12
7, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеП-12
1, NULL, NULL, NULL, NULL, NULL, NULL, Пятниця, ФеП-12
2, Дискр. математ. (лекц),доц. Вельгош С.Р.,129, NULL, NULL, NULL, Пятниця, ФеП-12
3, Вища математика (лекц),доц. Стахiв Л.Л.,128, NULL, NULL, NULL, Пятниця, ФеП-12
